,gene_id,expected_count
591,TRINITY_DN10482_c0_g1_i1,196005.0
7638,TRINITY_DN16723_c0_g1_i1,30856.0
9198,TRINITY_DN17_c0_g1_i2,11042.0
10714,TRINITY_DN192_c0_g1_i1,8252.0
9084,TRINITY_DN178_c0_g1_i1,8237.0
6471,TRINITY_DN15784_c0_g1_i1,7763.0
713,TRINITY_DN105_c0_g1_i1,7017.0
5566,TRINITY_DN14_c0_g1_i1,3844.0
6612,TRINITY_DN158_c0_g1_i1,3593.0
73,TRINITY_DN10051_c0_g1_i1,2603.0
6462,TRINITY_DN15778_c0_g1_i1,2499.0
6910,TRINITY_DN16130_c0_g1_i1,2397.0
128,TRINITY_DN100_c0_g1_i1,2308.0
319,TRINITY_DN10257_c0_g1_i1,2305.0
5798,TRINITY_DN15232_c0_g1_i1,2269.0
7610,TRINITY_DN166_c0_g1_i1,2249.0
131,TRINITY_DN10102_c0_g1_i1,2155.0
4108,TRINITY_DN135_c0_g1_i1,1926.0
6377,TRINITY_DN15706_c0_g1_i1,1847.0
1817,TRINITY_DN11533_c0_g1_i1,1782.0
200,TRINITY_DN1014_c0_g1_i1,1770.0
1310,TRINITY_DN110_c0_g1_i1,1706.0
653,TRINITY_DN10545_c0_g1_i1,1660.0
6728,TRINITY_DN15994_c0_g1_i1,1641.0
2578,TRINITY_DN12205_c0_g1_i1,1612.0
342,TRINITY_DN10279_c0_g1_i1,1553.0
1852,TRINITY_DN11566_c0_g1_i1,1518.0
2452,TRINITY_DN12091_c0_g1_i1,1517.0
100,TRINITY_DN10077_c0_g1_i1,1508.0
579,TRINITY_DN10471_c0_g1_i1,1463.0
6349,TRINITY_DN15687_c0_g1_i1,1390.0
3594,TRINITY_DN13098_c0_g1_i1,1338.0
11510,TRINITY_DN19_c0_g1_i1,1271.0
726,TRINITY_DN10610_c0_g1_i1,1265.0
500,TRINITY_DN103_c0_g1_i1,1232.0
1576,TRINITY_DN11338_c0_g1_i1,1210.0
3840,TRINITY_DN13338_c0_g1_i1,1199.0
6697,TRINITY_DN15972_c0_g1_i1,1180.0
1424,TRINITY_DN11204_c0_g1_i1,1174.0
3718,TRINITY_DN13216_c0_g1_i1,1086.0
1898,TRINITY_DN115_c0_g1_i1,1030.0
2246,TRINITY_DN11905_c0_g1_i1,1022.0
1445,TRINITY_DN11220_c0_g1_i1,1011.0
1419,TRINITY_DN111_c0_g1_i1,995.0
6698,TRINITY_DN15973_c0_g1_i1,989.0
821,TRINITY_DN106_c0_g1_i1,967.0
1892,TRINITY_DN11598_c0_g1_i1,941.0
9534,TRINITY_DN182_c0_g1_i1,931.0
830,TRINITY_DN10706_c0_g1_i1,920.0
696,TRINITY_DN10585_c0_g1_i1,901.0
6499,TRINITY_DN15809_c0_g1_i1,865.0
522,TRINITY_DN10418_c0_g1_i1,852.0
2420,TRINITY_DN12063_c0_g1_i1,845.0
6043,TRINITY_DN15438_c0_g1_i1,839.0
1129,TRINITY_DN10960_c0_g1_i1,824.0
4681,TRINITY_DN140_c0_g1_i1,816.0
6498,TRINITY_DN15808_c0_g1_i1,811.0
2910,TRINITY_DN124_c0_g1_i1,798.0
1659,TRINITY_DN11398_c0_g1_i1,777.0
3478,TRINITY_DN12995_c0_g1_i1,773.0
3890,TRINITY_DN13387_c0_g1_i1,748.0
61,TRINITY_DN10040_c0_g1_i1,726.0
2827,TRINITY_DN12416_c0_g1_i1,719.0
6834,TRINITY_DN16069_c0_g1_i1,709.0
6617,TRINITY_DN15903_c0_g1_i1,702.0
1516,TRINITY_DN11282_c0_g1_i1,686.0
1137,TRINITY_DN10969_c0_g1_i1,647.0
4228,TRINITY_DN136_c0_g1_i1,635.0
7108,TRINITY_DN16302_c0_g1_i1,630.0
258,TRINITY_DN101_c0_g1_i1,622.0
5947,TRINITY_DN15361_c0_g1_i1,616.0
5387,TRINITY_DN147_c0_g1_i1,607.0
3286,TRINITY_DN12811_c0_g1_i1,605.0
824,TRINITY_DN10700_c0_g1_i1,604.0
11055,TRINITY_DN195_c0_g1_i1,592.0
5314,TRINITY_DN14717_c0_g1_i1,568.0
2240,TRINITY_DN118_c0_g1_i1,564.0
608,TRINITY_DN104_c0_g1_i1,555.0
855,TRINITY_DN10730_c0_g1_i1,554.0
3374,TRINITY_DN128_c0_g1_i1,547.0
7726,TRINITY_DN167_c0_g1_i1,547.0
318,TRINITY_DN10256_c0_g1_i1,538.0
6109,TRINITY_DN15494_c0_g1_i1,525.0
3935,TRINITY_DN13431_c0_g1_i1,522.0
3456,TRINITY_DN12972_c0_g1_i1,508.0
5188,TRINITY_DN14583_c0_g1_i1,506.0
6737,TRINITY_DN15_c0_g1_i1,502.0
7237,TRINITY_DN16391_c0_g1_i1,495.0
7141,TRINITY_DN16332_c0_g1_i1,495.0
8600,TRINITY_DN174_c0_g1_i1,494.0
8968,TRINITY_DN177_c0_g1_i1,488.0
6757,TRINITY_DN16004_c0_g1_i1,486.0
2351,TRINITY_DN119_c0_g1_i1,486.0
6874,TRINITY_DN16100_c0_g1_i1,484.0
6821,TRINITY_DN16058_c0_g1_i1,472.0
10237,TRINITY_DN188_c0_g1_i1,472.0
6089,TRINITY_DN15476_c0_g1_i1,472.0
5849,TRINITY_DN15275_c0_g1_i1,471.0
1194,TRINITY_DN109_c0_g1_i1,460.0
9890,TRINITY_DN185_c0_g1_i1,455.0
2075,TRINITY_DN11740_c0_g1_i1,450.0
5931,TRINITY_DN15346_c0_g1_i1,444.0
11274,TRINITY_DN197_c0_g1_i1,443.0
4790,TRINITY_DN141_c0_g1_i2,426.0
1663,TRINITY_DN113_c0_g1_i1,426.0
160,TRINITY_DN10128_c0_g1_i1,419.0
5016,TRINITY_DN1441_c0_g1_i1,414.0
4349,TRINITY_DN137_c0_g1_i1,414.0
10587,TRINITY_DN1918_c0_g1_i1,402.0
7042,TRINITY_DN16242_c0_g1_i1,401.0
547,TRINITY_DN10441_c0_g1_i1,399.0
237,TRINITY_DN10180_c0_g1_i1,399.0
6052,TRINITY_DN15446_c0_g1_i1,397.0
2371,TRINITY_DN12016_c0_g1_i1,390.0
207,TRINITY_DN10156_c0_g1_i1,389.0
9343,TRINITY_DN1812_c0_g1_i1,384.0
441,TRINITY_DN10355_c0_g1_i1,372.0
744,TRINITY_DN10628_c0_g1_i1,368.0
1120,TRINITY_DN10952_c0_g1_i1,367.0
6460,TRINITY_DN15776_c0_g1_i1,366.0
7643,TRINITY_DN16728_c0_g1_i1,365.0
5886,TRINITY_DN15306_c0_g1_i1,362.0
5961,TRINITY_DN15374_c0_g1_i1,358.0
7068,TRINITY_DN16265_c0_g1_i1,350.0
7347,TRINITY_DN16475_c0_g1_i1,340.0
2007,TRINITY_DN116_c0_g1_i1,338.0
1163,TRINITY_DN10991_c0_g1_i1,337.0
7970,TRINITY_DN16983_c0_g1_i1,336.0
1471,TRINITY_DN11245_c0_g1_i1,335.0
2298,TRINITY_DN11950_c0_g1_i1,332.0
467,TRINITY_DN10369_c0_g1_i1,329.0
1544,TRINITY_DN11309_c0_g1_i1,324.0
8104,TRINITY_DN170_c0_g1_i1,318.0
931,TRINITY_DN107_c0_g1_i1,316.0
3889,TRINITY_DN13386_c0_g1_i1,314.0
3551,TRINITY_DN13059_c0_g1_i1,312.0
315,TRINITY_DN10253_c0_g1_i1,310.0
6578,TRINITY_DN15869_c0_g1_i1,302.0
5564,TRINITY_DN1499_c0_g1_i2,301.0
3638,TRINITY_DN1313_c0_g1_i1,300.0
6120,TRINITY_DN15502_c0_g1_i1,299.0
3045,TRINITY_DN1260_c0_g1_i1,293.0
1526,TRINITY_DN11290_c0_g1_i1,292.0
11164,TRINITY_DN196_c0_g1_i1,290.0
143,TRINITY_DN10111_c0_g1_i1,290.0
870,TRINITY_DN10744_c0_g1_i1,283.0
688,TRINITY_DN10578_c0_g1_i1,279.0
4522,TRINITY_DN1396_c0_g1_i1,278.0
8243,TRINITY_DN171_c0_g1_i1,277.0
6939,TRINITY_DN16157_c0_g1_i1,277.0
2572,TRINITY_DN121_c0_g1_i2,276.0
4094,TRINITY_DN1358_c0_g1_i1,275.0
1459,TRINITY_DN11234_c0_g1_i1,275.0
1410,TRINITY_DN11193_c0_g1_i1,273.0
786,TRINITY_DN10670_c0_g1_i1,273.0
761,TRINITY_DN10644_c0_g1_i1,271.0
3484,TRINITY_DN129_c0_g1_i1,270.0
2462,TRINITY_DN120_c0_g1_i1,265.0
6017,TRINITY_DN15414_c0_g1_i1,263.0
6922,TRINITY_DN16141_c0_g1_i1,262.0
714,TRINITY_DN10600_c0_g1_i1,260.0
1274,TRINITY_DN11069_c0_g1_i1,258.0
5565,TRINITY_DN149_c0_g1_i1,256.0
8522,TRINITY_DN1742_c0_g2_i1,253.0
6025,TRINITY_DN15420_c0_g1_i1,253.0
5298,TRINITY_DN146_c0_g1_i1,252.0
2268,TRINITY_DN11925_c0_g1_i1,250.0
5880,TRINITY_DN15300_c0_g1_i1,247.0
6483,TRINITY_DN15796_c0_g1_i1,247.0
8,TRINITY_DN10006_c0_g1_i1,245.0
6275,TRINITY_DN15623_c0_g1_i1,244.0
928,TRINITY_DN10798_c0_g1_i1,243.0
2668,TRINITY_DN12289_c0_g1_i1,243.0
2890,TRINITY_DN1247_c0_g1_i1,240.0
2093,TRINITY_DN1175_c0_g1_i1,240.0
929,TRINITY_DN10799_c0_g1_i1,239.0
425,TRINITY_DN10341_c0_g1_i1,238.0
729,TRINITY_DN10613_c0_g1_i1,238.0
4788,TRINITY_DN14199_c0_g1_i1,237.0
3481,TRINITY_DN12999_c0_g1_i1,237.0
10602,TRINITY_DN191_c0_g1_i1,236.0
499,TRINITY_DN10399_c0_g1_i1,229.0
6429,TRINITY_DN15750_c0_g1_i1,227.0
485,TRINITY_DN10388_c0_g1_i1,226.0
6087,TRINITY_DN15474_c0_g1_i1,223.0
202,TRINITY_DN10151_c0_g1_i1,223.0
77,TRINITY_DN10055_c0_g1_i1,222.0
716,TRINITY_DN10602_c0_g1_i1,221.0
8708,TRINITY_DN175_c0_g1_i1,220.0
273,TRINITY_DN10213_c0_g1_i1,219.0
98,TRINITY_DN10075_c0_g1_i1,219.0
9935,TRINITY_DN1863_c0_g1_i1,219.0
8362,TRINITY_DN172_c0_g1_i1,217.0
2395,TRINITY_DN12036_c0_g1_i1,216.0
6517,TRINITY_DN15826_c0_g1_i1,214.0
1303,TRINITY_DN11095_c0_g1_i1,212.0
3926,TRINITY_DN13422_c0_g1_i1,212.0
813,TRINITY_DN10694_c0_g1_i1,211.0
5835,TRINITY_DN15262_c0_g1_i1,210.0
3863,TRINITY_DN13360_c0_g1_i1,210.0
9276,TRINITY_DN1806_c0_g1_i1,210.0
6846,TRINITY_DN16080_c0_g1_i1,209.0
2875,TRINITY_DN12466_c0_g1_i1,207.0
598,TRINITY_DN1048_c0_g1_i1,205.0
3575,TRINITY_DN1307_c0_g1_i1,199.0
2281,TRINITY_DN11936_c0_g1_i1,198.0
1559,TRINITY_DN11321_c0_g1_i1,197.0
5923,TRINITY_DN15339_c0_g1_i1,197.0
631,TRINITY_DN10524_c0_g1_i1,197.0
2460,TRINITY_DN1209_c0_g1_i1,194.0
3061,TRINITY_DN12625_c0_g1_i1,194.0
621,TRINITY_DN10515_c0_g1_i1,194.0
6136,TRINITY_DN15513_c0_g1_i1,194.0
1422,TRINITY_DN11202_c0_g1_i1,193.0
1431,TRINITY_DN1120_c0_g1_i2,192.0
477,TRINITY_DN10378_c0_g1_i1,190.0
10939,TRINITY_DN194_c0_g1_i1,190.0
2331,TRINITY_DN11982_c0_g1_i1,190.0
5,TRINITY_DN10003_c0_g1_i1,190.0
673,TRINITY_DN10561_c0_g1_i1,189.0
125,TRINITY_DN10099_c0_g1_i1,189.0
3698,TRINITY_DN131_c0_g1_i2,188.0
869,TRINITY_DN10743_c0_g1_i1,188.0
362,TRINITY_DN10293_c0_g1_i1,188.0
5723,TRINITY_DN15177_c0_g1_i1,187.0
670,TRINITY_DN1055_c0_g1_i1,187.0
5815,TRINITY_DN15246_c0_g1_i1,187.0
151,TRINITY_DN1011_c0_g1_i1,186.0
5797,TRINITY_DN15231_c0_g1_i1,186.0
3485,TRINITY_DN12_c0_g1_i1,186.0
6376,TRINITY_DN15705_c0_g1_i1,184.0
7182,TRINITY_DN16361_c0_g1_i1,184.0
7630,TRINITY_DN16715_c0_g1_i1,184.0
866,TRINITY_DN10740_c0_g1_i1,180.0
8568,TRINITY_DN1746_c0_g1_i1,180.0
2442,TRINITY_DN12083_c0_g1_i1,180.0
5818,TRINITY_DN15249_c0_g1_i1,178.0
7449,TRINITY_DN16567_c0_g1_i1,178.0
3433,TRINITY_DN12950_c0_g1_i1,177.0
5683,TRINITY_DN15140_c0_g1_i1,177.0
1962,TRINITY_DN11659_c0_g1_i1,175.0
5342,TRINITY_DN1474_c0_g1_i1,175.0
440,TRINITY_DN10354_c0_g1_i1,174.0
5203,TRINITY_DN145_c0_g1_i1,173.0
814,TRINITY_DN10695_c0_g1_i1,172.0
850,TRINITY_DN10726_c0_g1_i1,172.0
2549,TRINITY_DN12178_c0_g1_i1,171.0
1336,TRINITY_DN11125_c0_g1_i1,171.0
7398,TRINITY_DN16519_c0_g1_i1,170.0
1014,TRINITY_DN10860_c0_g1_i1,168.0
194,TRINITY_DN10144_c0_g1_i1,167.0
83,TRINITY_DN10060_c0_g1_i1,166.0
596,TRINITY_DN10488_c0_g1_i1,165.0
5748,TRINITY_DN15198_c0_g1_i1,165.0
11641,TRINITY_DN200_c0_g1_i1,164.0
5051,TRINITY_DN1445_c0_g1_i1,164.0
6627,TRINITY_DN15912_c0_g1_i1,162.0
1018,TRINITY_DN10864_c0_g1_i1,161.0
3325,TRINITY_DN1284_c0_g1_i1,161.0
7580,TRINITY_DN16674_c0_g1_i1,160.0
5993,TRINITY_DN15395_c0_g1_i1,160.0
2385,TRINITY_DN1202_c0_g1_i1,158.0
6116,TRINITY_DN154_c0_g1_i1,154.0
7046,TRINITY_DN16246_c0_g1_i1,154.0
7153,TRINITY_DN16341_c0_g1_i1,154.0
7355,TRINITY_DN16484_c0_g1_i1,153.0
5716,TRINITY_DN15170_c0_g1_i1,153.0
3654,TRINITY_DN1315_c0_g1_i1,153.0
5881,TRINITY_DN15301_c0_g1_i1,150.0
2084,TRINITY_DN1174_c0_g1_i1,150.0
308,TRINITY_DN10246_c0_g1_i1,150.0
210,TRINITY_DN10159_c0_g1_i1,150.0
6497,TRINITY_DN15807_c0_g1_i1,149.0
6169,TRINITY_DN15540_c0_g1_i1,148.0
4726,TRINITY_DN14138_c0_g1_i1,148.0
6536,TRINITY_DN15845_c0_g1_i1,147.0
249,TRINITY_DN10194_c0_g1_i1,146.0
524,TRINITY_DN1041_c0_g1_i1,146.0
41,TRINITY_DN1002_c0_g1_i1,146.0
5813,TRINITY_DN15244_c0_g1_i1,145.0
1053,TRINITY_DN10897_c0_g1_i1,145.0
6170,TRINITY_DN15541_c0_g1_i1,144.0
764,TRINITY_DN10647_c0_g1_i1,144.0
5742,TRINITY_DN15192_c0_g1_i1,143.0
1215,TRINITY_DN11014_c0_g1_i1,143.0
5701,TRINITY_DN15157_c0_g1_i1,140.0
6361,TRINITY_DN15695_c0_g1_i1,140.0
7142,TRINITY_DN16333_c0_g1_i1,139.0
7027,TRINITY_DN16228_c0_g1_i1,138.0
196,TRINITY_DN10146_c0_g1_i1,138.0
864,TRINITY_DN10739_c0_g1_i1,138.0
920,TRINITY_DN10790_c0_g1_i1,138.0
1302,TRINITY_DN11094_c0_g1_i1,137.0
6865,TRINITY_DN16096_c0_g1_i1,137.0
6449,TRINITY_DN15767_c0_g1_i1,137.0
2090,TRINITY_DN11756_c0_g1_i1,137.0
6998,TRINITY_DN16204_c0_g1_i1,135.0
181,TRINITY_DN10132_c0_g1_i1,134.0
1540,TRINITY_DN11305_c0_g1_i1,134.0
6103,TRINITY_DN15489_c0_g1_i1,133.0
1532,TRINITY_DN11296_c0_g1_i1,133.0
7392,TRINITY_DN16512_c0_g1_i1,132.0
7870,TRINITY_DN16906_c0_g1_i1,132.0
5067,TRINITY_DN14476_c0_g1_i1,132.0
10868,TRINITY_DN1943_c0_g1_i1,132.0
4986,TRINITY_DN143_c0_g1_i1,131.0
5357,TRINITY_DN1476_c0_g1_i1,131.0
680,TRINITY_DN1056_c0_g1_i1,131.0
470,TRINITY_DN10370_c0_g1_i1,131.0
147,TRINITY_DN10115_c0_g1_i1,130.0
6872,TRINITY_DN160_c0_g1_i1,130.0
9592,TRINITY_DN1834_c0_g2_i1,129.0
4161,TRINITY_DN13645_c0_g1_i1,129.0
1464,TRINITY_DN11239_c0_g1_i1,129.0
6785,TRINITY_DN16028_c0_g1_i1,128.0
7729,TRINITY_DN16802_c0_g1_i1,127.0
1934,TRINITY_DN11634_c0_g1_i1,127.0
690,TRINITY_DN1057_c0_g1_i1,127.0
1386,TRINITY_DN11173_c0_g1_i1,127.0
1794,TRINITY_DN11520_c0_g1_i1,126.0
5992,TRINITY_DN15394_c0_g1_i1,126.0
7167,TRINITY_DN16352_c0_g1_i1,125.0
290,TRINITY_DN1022_c0_g1_i1,125.0
883,TRINITY_DN10759_c0_g1_i1,125.0
2932,TRINITY_DN1251_c0_g1_i1,125.0
43,TRINITY_DN10031_c0_g1_i1,124.0
6458,TRINITY_DN15774_c0_g1_i1,124.0
777,TRINITY_DN10660_c0_g1_i1,124.0
944,TRINITY_DN10813_c0_g1_i1,124.0
6002,TRINITY_DN15401_c0_g1_i1,123.0
749,TRINITY_DN10633_c0_g1_i1,123.0
1511,TRINITY_DN11278_c0_g1_i1,123.0
7569,TRINITY_DN16665_c0_g1_i1,123.0
1348,TRINITY_DN11136_c0_g1_i1,123.0
842,TRINITY_DN1071_c0_g1_i1,123.0
1321,TRINITY_DN11111_c0_g1_i1,122.0
1364,TRINITY_DN11151_c0_g1_i1,122.0
6005,TRINITY_DN15404_c0_g1_i1,121.0
5710,TRINITY_DN15164_c0_g1_i1,121.0
6803,TRINITY_DN16043_c0_g1_i1,121.0
393,TRINITY_DN10320_c0_g1_i1,120.0
6903,TRINITY_DN16124_c0_g1_i1,119.0
731,TRINITY_DN10615_c0_g1_i1,119.0
7829,TRINITY_DN16876_c0_g1_i1,119.0
3290,TRINITY_DN12816_c0_g1_i1,119.0
427,TRINITY_DN10344_c0_g1_i1,118.0
6971,TRINITY_DN16182_c0_g1_i1,117.0
293,TRINITY_DN10232_c0_g1_i1,117.0
2779,TRINITY_DN12384_c0_g1_i1,116.0
1347,TRINITY_DN11135_c0_g1_i1,116.0
5532,TRINITY_DN1495_c0_g1_i1,114.0
7135,TRINITY_DN16328_c0_g1_i1,114.0
787,TRINITY_DN10671_c0_g1_i1,114.0
7298,TRINITY_DN16434_c0_g1_i1,113.0
3238,TRINITY_DN1276_c0_g1_i1,113.0
6571,TRINITY_DN15862_c0_g1_i1,112.0
10824,TRINITY_DN193_c0_g1_i1,112.0
6799,TRINITY_DN1603_c0_g1_i1,111.0
7067,TRINITY_DN16264_c0_g1_i1,111.0
330,TRINITY_DN10268_c0_g1_i1,111.0
9197,TRINITY_DN17_c0_g1_i1,110.0
7117,TRINITY_DN16312_c0_g1_i1,110.0
2710,TRINITY_DN12320_c0_g1_i1,110.0
1365,TRINITY_DN11152_c0_g1_i1,109.0
555,TRINITY_DN10449_c0_g1_i1,109.0
6141,TRINITY_DN15518_c0_g1_i1,109.0
215,TRINITY_DN10161_c0_g1_i1,109.0
2080,TRINITY_DN11746_c0_g1_i1,108.0
1417,TRINITY_DN1119_c0_g1_i1,108.0
747,TRINITY_DN10631_c0_g1_i1,108.0
704,TRINITY_DN10592_c0_g1_i1,108.0
6604,TRINITY_DN15893_c0_g1_i1,108.0
78,TRINITY_DN10056_c0_g1_i1,107.0
6067,TRINITY_DN15459_c0_g1_i1,107.0
3426,TRINITY_DN1294_c0_g1_i1,107.0
3373,TRINITY_DN1289_c0_g1_i1,107.0
142,TRINITY_DN10110_c0_g1_i1,106.0
1494,TRINITY_DN11261_c0_g1_i1,106.0
6990,TRINITY_DN16198_c0_g1_i1,105.0
7301,TRINITY_DN16437_c0_g1_i1,105.0
10837,TRINITY_DN1940_c0_g1_i1,105.0
682,TRINITY_DN10571_c0_g1_i1,105.0
808,TRINITY_DN1068_c0_g1_i1,104.0
599,TRINITY_DN10490_c0_g1_i1,104.0
6778,TRINITY_DN16021_c0_g1_i1,104.0
1121,TRINITY_DN10953_c0_g1_i1,104.0
7126,TRINITY_DN16320_c0_g1_i1,104.0
479,TRINITY_DN1037_c0_g1_i1,103.0
1203,TRINITY_DN11003_c0_g1_i1,103.0
960,TRINITY_DN10828_c0_g1_i1,102.0
137,TRINITY_DN10108_c0_g1_i1,102.0
6012,TRINITY_DN1540_c0_g1_i1,101.0
2368,TRINITY_DN12013_c0_g1_i1,101.0
765,TRINITY_DN10648_c0_g1_i1,101.0
6665,TRINITY_DN15946_c0_g1_i1,100.0
11476,TRINITY_DN1996_c0_g1_i1,100.0
1098,TRINITY_DN10938_c0_g1_i1,100.0
3007,TRINITY_DN1257_c0_g1_i1,100.0
1078,TRINITY_DN1091_c0_g1_i1,100.0
1708,TRINITY_DN11438_c0_g1_i1,99.0
7319,TRINITY_DN16451_c0_g1_i1,99.0
492,TRINITY_DN10391_c0_g1_i1,99.0
9765,TRINITY_DN184_c0_g1_i1,98.0
360,TRINITY_DN10291_c0_g1_i1,98.0
775,TRINITY_DN10658_c0_g1_i1,98.0
7841,TRINITY_DN16885_c0_g1_i1,98.0
7072,TRINITY_DN16269_c0_g1_i1,98.0
5964,TRINITY_DN15378_c0_g1_i1,98.0
6915,TRINITY_DN16135_c0_g1_i1,97.0
1230,TRINITY_DN11026_c0_g1_i1,97.0
2363,TRINITY_DN12009_c0_g1_i1,96.0
664,TRINITY_DN10554_c0_g1_i1,96.0
5899,TRINITY_DN15318_c0_g1_i1,96.0
5685,TRINITY_DN15142_c0_g1_i1,96.0
6964,TRINITY_DN16177_c0_g1_i1,96.0
852,TRINITY_DN10729_c0_g1_i1,96.0
11141,TRINITY_DN1967_c0_g1_i1,96.0
1369,TRINITY_DN11157_c0_g1_i1,95.0
